"Style","Status","Source","Output","CandidateCount"
"FT-1051","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1051\主图10.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1051.jpg","12"
"FT-1052","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1052\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1052.png","13"
"FT-1053","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1053\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1053.png","14"
"FT-1054","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1054\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1054.png","14"
"FT-1055","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1055\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1055.png","16"
"FT-1056","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1056\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1056.png","14"
"FT-1057","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1057\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1057.png","15"
"FT-1061","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1061\主图11.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1061.jpg","12"
"FT-1062","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1062\主图11.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1062.jpg","9"
"FT-1064","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1064\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1064.png","2"
"FT-1064-23","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1064-23\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1064-23.jpg","4"
"FT-1065","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1065\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1065.png","3"
"FT-1065-23","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1065-23\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1065-23.jpg","2"
"FT-1067","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1067\主图2.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1067.jpg","4"
"FT-1067-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1067-20\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1067-20.jpg","5"
"FT-1068","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1068\主图2.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1068.jpg","4"
"FT-1068-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1068-20\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1068-20.jpg","5"
"FT-1069","no_main_image_filename","","","0"
"FT-1069-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1069-20\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1069-20.jpg","5"
"FT-1071","no_main_image_filename","","","0"
"FT-1072","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1072\主图1072.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1072.png","6"
"FT-1073","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1073\主图1073.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1073.png","6"
"FT-1074","no_main_image_filename","","","0"
"FT-1074-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1074-20\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1074-20.jpg","5"
"FT-1075","no_main_image_filename","","","0"
"FT-1084","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1084\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1084.jpg","4"
"FT-1084-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1084-30\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1084-30.jpg","4"
"FT-1085-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1085-30\主图5.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1085-30.jpg","1"
"FT-1087","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1087\主图1087.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1087.png","5"
"FT-1088","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1088\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1088.png","6"
"FT-1088-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1088-30\主图7.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1088-30.jpg","1"
"FT-1091","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1091\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1091.jpg","40"
"FT-1092","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1092\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1092.png","3"
"FT-1093","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1093\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1093.png","2"
"FT-1093-30-XPE","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1093-30-XPE\主图3.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1093-30-XPE.jpg","2"
"FT-1095","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1095\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1095.jpg","5"
"FT-1095-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1095-30\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1095-30.jpg","5"
"FT-1098","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1098\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1098.png","5"
"FT-1100","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1100\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1100.png","2"
"FT-1101","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1101\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1101.png","2"
"FT-1101-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1101-30\主图.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1101-30.jpg","1"
"FT-1102","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1102\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1102.png","2"
"FT-1103","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1103\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1103.png","5"
"FT-1103-30-XPE","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1103-30-XPE\主图3.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1103-30-XPE.jpg","2"
"FT-1104-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1104-30\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1104-30.jpg","4"
"FT-1106","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1106\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1106.png","12"
"FT-1107","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1107\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1107.png","7"
"FT-1108","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1108\主图1108.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1108.png","6"
"FT-1109","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1109\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1109.png","8"
"FT-1110","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1110\主图10 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1110.png","8"
"FT-1111","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1111\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1111.jpg","2"
"FT-1116-30-XPE","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1116-30-XPE\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1116-30-XPE.jpg","4"
"FT-1117","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1117\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1117.png","3"
"FT-1118","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1118\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1118.png","2"
"FT-1119","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1119\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1119.png","2"
"FT-1119-30-XPE","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1119-30-XPE\主图2.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1119-30-XPE.jpg","3"
"FT-1123","no_main_image_filename","","","0"
"FT-1124","no_main_image_filename","","","0"
"FT-1125","no_main_image_filename","","","0"
"FT-1126","no_main_image_filename","","","0"
"FT-1126-30-XPE","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1126-30-XPE\FT1126主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1126-30-XPE.jpg","4"
"FT-1127","no_main_image_filename","","","0"
"FT-1127-30-XPE","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1127-30-XPE\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1127-30-XPE.jpg","4"
"FT-1130-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1130-20\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1130-20.jpg","5"
"FT-1130-20详情页","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1130-20详情页\FT-1130-20主图\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1130-20详情页.jpg","5"
"FT-1131","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1131\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1131.jpg","5"
"FT-1131-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1131-20\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1131-20.jpg","5"
"FT-1176-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1176-30\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1176-30.jpg","3"
"FT-1206-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1206-30\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1206-30.jpg","1"
"FT-1230-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1230-20\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1230-20.jpg","1"
"FT-1283-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1283-30\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1283-30.jpg","1"
"FT1149","no_main_image_filename","","","0"
"FT1149-30-FT1150-30详情页主图","no_main_image_filename","","","0"
"FT1150","no_main_image_filename","","","0"
"FT1151","no_main_image_filename","","","0"
"FT1152","no_main_image_filename","","","0"
"FT1153","no_main_image_filename","","","0"
"FT1154","no_main_image_filename","","","0"
"FT1155","no_main_image_filename","","","0"
"FT1156","no_main_image_filename","","","0"
"FT1157","no_main_image_filename","","","0"
"FT1158","no_main_image_filename","","","0"
"FT1159","no_main_image_filename","","","0"
"FT1160","no_main_image_filename","","","0"
"FT1161","no_main_image_filename","","","0"
"FT1162","no_main_image_filename","","","0"
"FT1163","no_main_image_filename","","","0"
"FT1164","no_main_image_filename","","","0"
"FT1165","no_main_image_filename","","","0"
"FT1166","no_main_image_filename","","","0"
"FT1167","no_main_image_filename","","","0"
"FT1168","no_main_image_filename","","","0"
"FT1169","no_main_image_filename","","","0"
"FT1170","no_main_image_filename","","","0"
"FT1171","no_main_image_filename","","","0"
"FT1172","no_main_image_filename","","","0"
"FT1173","no_main_image_filename","","","0"
"FT1174","no_main_image_filename","","","0"
"FT1175","no_main_image_filename","","","0"
"FT1176","no_main_image_filename","","","0"
"FT1177","no_main_image_filename","","","0"
"FT1177-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1177-30\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT1177-30.jpg","1"
"FT1178","no_main_image_filename","","","0"
"FT1178-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1178-20\主图3.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT1178-20.jpg","4"
"FT1180","no_main_image_filename","","","0"
"FT1181","no_main_image_filename","","","0"
"FT1182","no_main_image_filename","","","0"
"FT1182-106木纹长条楼梯贴","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1182-106木纹长条楼梯贴\主图2.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT1182-106木纹长条楼梯贴.jpg","5"
"FT1183","no_main_image_filename","","","0"
"FT1184","no_main_image_filename","","","0"
"FT1185","no_main_image_filename","","","0"
"FT1186","no_main_image_filename","","","0"
"FT1186-FT1187-106楼梯贴","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1186-FT1187-106楼梯贴\主图.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT1186-FT1187-106楼梯贴.jpg","4"
"FT1187","no_main_image_filename","","","0"
"FT1188","no_main_image_filename","","","0"
"FT1188-FT1191-106楼梯贴","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1188-FT1191-106楼梯贴\主图.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT1188-FT1191-106楼梯贴.jpg","6"
"FT1189","no_main_image_filename","","","0"
"FT1189-FT1191-FT1192-106楼梯贴","no_main_image_filename","","","0"
"FT1190","no_main_image_filename","","","0"
"FT1191","no_main_image_filename","","","0"
"FT1191-106楼梯贴","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1191-106楼梯贴\主图3.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT1191-106楼梯贴.jpg","4"
"FT1192","no_main_image_filename","","","0"
"FT1193-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1193-30\FT1193主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT1193-30.jpg","4"
"FT1194-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1194-30\FT1194主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT1194-30.jpg","1"
"FT1195-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1195-30\FT1195主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT1195-30.jpg","1"
"FT1196-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1196-30\FT1196主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT1196-30.jpg","4"
"FT1197-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1197-30\FT1197主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT1197-30.jpg","1"
"FT1198-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1198-30\FT1198主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT1198-30.jpg","1"
