"Style","Status","Source","Output","CandidateCount"
"FT1336-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1336-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1336-30.jpg","3"
"FT1337-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1337-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1337-30.jpg","2"
"FT1341","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1341\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1341.jpg","4"
"FT1343-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1343-20\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1343-20.jpg","5"
"FT1344","no_scene_image_filename","","","0"
"FT1345","no_scene_image_filename","","","0"
"FT1346-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1346-20\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1346-20.jpg","4"
"FT1347-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1347-20\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1347-20.jpg","4"
"FT1349-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1349-20\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1349-20.jpg","4"
"FT1350-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1350-20\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1350-20.jpg","4"
"FT1351-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1351-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1351-30.jpg","1"
